countryname,countrycode,co2,gdp,anio
Asia meridional (BIRF y la AIF)                                       ,TSA ,1972951.0800000,349.8730878,1994
África al sur del Sahara (BIRF y la AIF)                              ,TSS ,3115165.0340000,549.7310960,1994
Trinidad y Tobago                                                     ,TTO ,0.0000000,3959.2850530,1994
Túnez                                                                 ,TUN ,23971.6874000,1743.1545330,1994
Turquía                                                               ,TUR ,240893.4540000,2270.3375230,1994
Tuvalu                                                                ,TUV ,4.5513285,1176.6996930,1994
Tanzanía                                                              ,TZA ,86107.1670000,161.1769355,1994
Uganda                                                                ,UGA ,37154.6550000,201.6026565,1994
Ucrania                                                               ,UKR ,606685.6400000,1012.0981940,1994
Ingreso mediano alto                                                  ,UMC ,14723541.3800000,1518.0846210,1994
Uruguay                                                               ,URY ,30030.6900000,5458.8639500,1994
Estados Unidos                                                        ,USA ,6374979.2000000,27694.8534200,1994
Uzbekistán                                                            ,UZB ,156744.5981000,576.4471105,1994
San Vicente y las Granadinas                                          ,VCT ,178.1197760,2678.6714060,1994
Venezuela                                                             ,VEN ,211849.2910000,2720.3675690,1994
Islas Vírgenes Británicas                                             ,VGB ,0.0000000,,1994
Islas Vírgenes (EE.UU.)                                               ,VIR ,47.2250100,,1994
Viet Nam                                                              ,VNM ,114050.5840000,221.1291812,1994
Vanuatu                                                               ,VUT ,425.1550400,1335.9024980,1994
Mundo                                                                 ,WLD ,38810306.9600000,4939.8349040,1994
Samoa                                                                 ,WSM ,271.8176200,1310.6459420,1994
Kosovo                                                                ,XKX ,0.0000000,,1994
"Yemen, Rep. del                                                       ",YEM ,16621.0655300,291.4721525,1994
Sudáfrica                                                             ,ZAF ,355673.5800000,3445.2300680,1994
Zambia                                                                ,ZMB ,182686.6593000,412.2609845,1994
Zimbabwe                                                              ,ZWE ,30208.7340000,611.8657110,1994
